Observation_ID,Date,Point,Groundwater_depth,Depth_unit,Chloride,Chloride_unit,Pumping,Flow_unit,Basis
P02-OBS01,2018-12-08,GW-01,23.8,m below ground,169,mg/L,11.7,m3/h,현장 관측값
P02-OBS02,2018-12-09,GW-02,24.1,m below ground,171,mg/L,12.2,m3/h,현장 관측값
P02-OBS03,2018-12-10,GW-03,24.3,m below ground,173,mg/L,12.6,m3/h,현장 관측값
P02-OBS04,2018-12-11,GW-01,23.9,m below ground,175,mg/L,13.1,m3/h,현장 관측값
P02-OBS05,2018-12-12,GW-02,24.2,m below ground,176,mg/L,13.5,m3/h,현장 관측값
P02-OBS06,2018-12-13,GW-03,24,m below ground,178,mg/L,14.0,m3/h,현장 관측값
P02-OBS07,2018-12-14,GW-01,23.8,m below ground,180,mg/L,14.4,m3/h,현장 관측값
P02-OBS08,2018-12-15,GW-02,24.1,m below ground,182,mg/L,14.9,m3/h,현장 관측값
P02-OBS09,2018-12-16,GW-03,24.3,m below ground,184,mg/L,15.3,m3/h,현장 관측값
P02-OBS10,2018-12-17,GW-01,23.9,m below ground,185,mg/L,15.8,m3/h,현장 관측값
P02-OBS11,2018-12-18,GW-02,24.2,m below ground,187,mg/L,16.2,m3/h,현장 관측값
P02-OBS12,2018-12-19,GW-03,24,m below ground,189,mg/L,18,m3/h,현장 관측값
