Observation_ID,Date,Point,Groundwater_depth,Depth_unit,Chloride,Chloride_unit,Pumping,Flow_unit,Basis
P04-OBS01,2021-12-21,GW-01,1.1,m below ground,1692,mg/L,22.8,m3/h,현장 관측값
P04-OBS02,2021-12-22,GW-02,1.4,m below ground,1710,mg/L,23.6,m3/h,현장 관측값
P04-OBS03,2021-12-23,GW-03,1.6,m below ground,1728,mg/L,24.5,m3/h,현장 관측값
P04-OBS04,2021-12-24,GW-01,1.2,m below ground,1746,mg/L,25.4,m3/h,현장 관측값
P04-OBS05,2021-12-25,GW-02,1.5,m below ground,1764,mg/L,26.2,m3/h,현장 관측값
P04-OBS06,2021-12-26,GW-03,1.3,m below ground,1782,mg/L,27.1,m3/h,현장 관측값
P04-OBS07,2021-12-27,GW-01,1.1,m below ground,1800,mg/L,28.0,m3/h,현장 관측값
P04-OBS08,2021-12-28,GW-02,1.4,m below ground,1818,mg/L,28.9,m3/h,현장 관측값
P04-OBS09,2021-12-29,GW-03,1.6,m below ground,1836,mg/L,29.8,m3/h,현장 관측값
P04-OBS10,2021-12-30,GW-01,1.2,m below ground,1854,mg/L,30.6,m3/h,현장 관측값
P04-OBS11,2021-12-31,GW-02,1.5,m below ground,1872,mg/L,31.5,m3/h,현장 관측값
P04-OBS12,2022-01-01,GW-03,1.3,m below ground,1890,mg/L,35,m3/h,현장 관측값
