Activity_ID,Activity,Start,Finish_exclusive,Duration,Predecessor,Basis,Unit
P11-A01,현장 인도,2019-04-01,2019-04-02,1,,계획 기준,calendar day
P11-A02,조사 및 설계,2019-04-01,2019-06-30,90,,계획 기준,calendar day
P11-A03,가시설 승인,2019-05-01,2019-06-30,60,P11-A02 SS+30d,계획 기준,calendar day
P11-A04,주요 토공,2019-06-30,2019-12-27,180,P11-A03 FS,계획 기준,calendar day
P11-A05,주요 구조물,2019-09-28,2020-05-25,240,P11-A04 SS+90d,계획 기준,calendar day
P11-A06,설비 승인,2019-05-01,2019-07-30,90,P11-A02 SS+30d,계획 기준,calendar day
P11-A07,설비 제작 및 운송,2019-07-30,2020-02-25,210,P11-A06 FS,계획 기준,calendar day
P11-A08,설치 및 접속,2022-01-15,2022-05-15,120,P11-A07 FS,계획 기준,calendar day
P11-A09,시험 및 시운전,2022-05-15,2022-06-24,40,P11-A08 FS,계획 기준,calendar day
P11-A10,인도 및 복구,2022-06-24,2022-07-14,20,P11-A09 FS,계획 기준,calendar day
