Observation_ID,Date,Point,Groundwater_depth,Depth_unit,Chloride,Chloride_unit,Pumping,Flow_unit,Basis
P11-OBS01,2022-09-11,GW-01,2.6,m below ground,169,mg/L,35.8,m3/h,현장 관측값
P11-OBS02,2022-09-12,GW-02,2.9,m below ground,171,mg/L,37.1,m3/h,현장 관측값
P11-OBS03,2022-09-13,GW-03,3.1,m below ground,173,mg/L,38.5,m3/h,현장 관측값
P11-OBS04,2022-09-14,GW-01,2.7,m below ground,175,mg/L,39.9,m3/h,현장 관측값
P11-OBS05,2022-09-15,GW-02,3.0,m below ground,176,mg/L,41.2,m3/h,현장 관측값
P11-OBS06,2022-09-16,GW-03,2.8,m below ground,178,mg/L,42.6,m3/h,현장 관측값
P11-OBS07,2022-09-17,GW-01,2.6,m below ground,180,mg/L,44.0,m3/h,현장 관측값
P11-OBS08,2022-09-18,GW-02,2.9,m below ground,182,mg/L,45.4,m3/h,현장 관측값
P11-OBS09,2022-09-19,GW-03,3.1,m below ground,184,mg/L,46.8,m3/h,현장 관측값
P11-OBS10,2022-09-20,GW-01,2.7,m below ground,185,mg/L,48.1,m3/h,현장 관측값
P11-OBS11,2022-09-21,GW-02,3.0,m below ground,187,mg/L,49.5,m3/h,현장 관측값
P11-OBS12,2022-09-22,GW-03,2.8,m below ground,189,mg/L,55,m3/h,현장 관측값
