Activity_ID,Activity,Start,Finish_exclusive,Duration,Predecessor,Basis,Unit
P13-A01,현장 인도,2015-02-01,2015-02-02,1,,계획 기준,calendar day
P13-A02,조사 및 설계,2015-02-01,2015-05-02,90,,계획 기준,calendar day
P13-A03,가시설 승인,2015-03-03,2015-05-02,60,P13-A02 SS+30d,계획 기준,calendar day
P13-A04,주요 토공,2015-05-02,2015-10-29,180,P13-A03 FS,계획 기준,calendar day
P13-A05,주요 구조물,2015-07-31,2016-03-27,240,P13-A04 SS+90d,계획 기준,calendar day
P13-A06,설비 승인,2015-03-03,2015-06-01,90,P13-A02 SS+30d,계획 기준,calendar day
P13-A07,설비 제작 및 운송,2015-06-01,2015-12-28,210,P13-A06 FS,계획 기준,calendar day
P13-A08,설치 및 접속,2016-12-22,2017-04-21,120,P13-A07 FS,계획 기준,calendar day
P13-A09,시험 및 시운전,2017-04-21,2017-05-31,40,P13-A08 FS,계획 기준,calendar day
P13-A10,인도 및 복구,2017-05-31,2017-06-20,20,P13-A09 FS,계획 기준,calendar day
