Observation_ID,Date,Point,Groundwater_depth,Depth_unit,Chloride,Chloride_unit,Pumping,Flow_unit,Basis
N01-OBS01,2026-09-06,GW-01,1.3,m below ground,2350,mg/L,,m3/h,입찰 전 조사 / 배수량 미확정
N01-OBS02,2026-09-07,GW-02,1.6,m below ground,2375,mg/L,,m3/h,입찰 전 조사 / 배수량 미확정
N01-OBS03,2026-09-08,GW-03,1.8,m below ground,2400,mg/L,,m3/h,입찰 전 조사 / 배수량 미확정
N01-OBS04,2026-09-09,GW-01,1.4,m below ground,2425,mg/L,,m3/h,입찰 전 조사 / 배수량 미확정
N01-OBS05,2026-09-10,GW-02,1.7,m below ground,2450,mg/L,,m3/h,입찰 전 조사 / 배수량 미확정
N01-OBS06,2026-09-11,GW-03,1.5,m below ground,2475,mg/L,,m3/h,입찰 전 조사 / 배수량 미확정
N01-OBS07,2026-09-12,GW-01,1.3,m below ground,2500,mg/L,,m3/h,입찰 전 조사 / 배수량 미확정
N01-OBS08,2026-09-13,GW-02,1.6,m below ground,2525,mg/L,,m3/h,입찰 전 조사 / 배수량 미확정
N01-OBS09,2026-09-14,GW-03,1.8,m below ground,2550,mg/L,,m3/h,입찰 전 조사 / 배수량 미확정
N01-OBS10,2026-09-15,GW-01,1.4,m below ground,2575,mg/L,,m3/h,입찰 전 조사 / 배수량 미확정
N01-OBS11,2026-09-16,GW-02,1.7,m below ground,2600,mg/L,,m3/h,입찰 전 조사 / 배수량 미확정
N01-OBS12,2026-09-17,GW-03,1.5,m below ground,2625,mg/L,,m3/h,입찰 전 조사 / 배수량 미확정
