Activity_ID,Activity,Start,Finish_exclusive,Duration,Predecessor,Basis,Unit
N02-A01,현장 인도,2027-04-01,2027-04-02,1,,계획 기준,calendar day
N02-A02,조사 및 설계,2027-04-01,2027-06-30,90,,계획 기준,calendar day
N02-A03,가시설 승인,2027-05-01,2027-06-30,60,N02-A02 SS+30d,계획 기준,calendar day
N02-A04,주요 토공,2027-06-30,2027-12-27,180,N02-A03 FS,계획 기준,calendar day
N02-A05,주요 구조물,2027-09-28,2028-05-25,240,N02-A04 SS+90d,계획 기준,calendar day
N02-A06,설비 승인,2027-05-01,2027-07-30,90,N02-A02 SS+30d,계획 기준,calendar day
N02-A07,설비 제작 및 운송,2027-07-30,2028-02-25,210,N02-A06 FS,계획 기준,calendar day
N02-A08,설치 및 접속,2029-03-21,2029-07-19,120,N02-A07 FS,계획 기준,calendar day
N02-A09,시험 및 시운전,2029-07-19,2029-08-28,40,N02-A08 FS,계획 기준,calendar day
N02-A10,인도 및 복구,2029-08-28,2029-09-17,20,N02-A09 FS,계획 기준,calendar day
